_timestamp,birth_date,birth_place,college,college_conf,height,high_school,jersey_no,player_id,player_name,position,rookie_year,status,weight
1554866201,1977-08-03,"San Mateo, CA, USA",Michigan,Big Ten Conference,76,Junipero Serra (CA),12,41c44740-d0f6-44ab-8347-3b5d515e5ecf,Tom Brady,QB,2000.0,A01,225.0
1554866201,1991-11-02,"Arlington Heights, IL, USA",Eastern Illinois,Ohio Valley Conference,74,Rolling Meadows (IL),10,42de9d1d-0352-460b-9172-9452414fd7fd,Jimmy Garoppolo,QB,2014.0,A01,225.0
1554866201,1990-03-19,"Virginia Beach, VA, USA",Florida State,Atlantic Coast Conference,76,Bayside (VA),3,19d00799-4271-40ac-b5c4-4ea8b410a704,E.J. Manuel,QB,2013.0,A01,237.0
1554866201,1988-07-27,"Lubbock, TX, USA",Texas A&M,Big Twelve Conference,76,Big Spring (TX),17,5812204c-6dae-4450-8011-99e0f72864ac,Ryan Tannehill,QB,2012.0,A01,216.0
1554866201,1984-08-09,"Van Nuys, CA, USA",Oregon State,Pacific Ten Conference,75,Hart (CA),8,76d7615e-8eb5-4761-b6a6-1e895d01baf3,Matt Moore,QB,2007.0,A01,219.0
1554866201,1988-09-27,"Franklin Lakes, NJ, USA",Tennessee,Southeastern Conference,75,Don Bosco Prep School (NJ),4,a6155092-1005-4b4c-8e37-21422ce93b42,Matt Simms,QB,2012.0,R01,210.0
1554866201,1980-06-26,"Newport News, VA, USA",Virginia Tech,Atlantic Coast Conference,72,Warwick (VA),2,b797d6fa-1520-4b3d-a212-157afd4a3bd0,Michael Vick,QB,2001.0,A01,215.0
1554866201,1990-10-10,"Miramar, FL, USA",West Virginia,Big Twelve Conference,75,Miramar (FL),3,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,Geno Smith,QB,2013.0,A01,221.0
1554866201,1983-01-27,"Pittsburgh, PA, USA",Toledo,Mid-American Conference,73,Seton-La Salle (PA),5,12815867-476b-4c85-a2eb-6a6a54cf563e,Bruce Gradkowski,QB,2006.0,R01,220.0
1554866201,1989-04-04,"Artesia, NM, USA",Oklahoma,Big Twelve Conference,76,Artesia (NM),2,d4dd3d0b-5023-415d-ad15-94f294c561b1,Landry Jones,QB,2013.0,A01,225.0
1554866201,1982-03-02,"Lima, OH, USA","Miami, O.",Mid-American Conference,77,Findlay (OH),7,ea357add-1a41-4a8b-8f34-bbfade7f4d98,Ben Roethlisberger,QB,2004.0,A01,240.0
1554866201,1987-10-29,"Katy, TX, USA",Texas Christian,Mountain West Conference,74,Katy (TX),14,d2a0e5af-3850-4f16-8e40-a0b1d15c2ce1,Andy Dalton,QB,2011.0,A01,220.0
1554866201,1990-09-13,"Mobile, AL, USA",Alabama,Southeastern Conference,75,Saint Paul's Episcopal (AL),2,d4b30988-e8c5-4689-8037-f79a0d3c2774,AJ McCarron,QB,2014.0,A01,220.0
1554866201,1985-01-16,"Audubon, NJ, USA",Delaware,Colonial Athletic Association,78,Audubon (NJ),5,64797df2-efd3-4b27-86ee-1d48f7edb09f,Joe Flacco,QB,2008.0,A01,245.0
1554866201,1989-08-03,"Hampton, VA, USA",Virginia Tech,Atlantic Coast Conference,73,Hampton (VA),5,7f3ef024-eb34-46af-8b9e-544cdf09378f,Tyrod Taylor,QB,2011.0,A01,215.0
1554866201,1991-09-19,"Flowery Branch, GA, USA",South Carolina,Southeastern Conference,73,Flowery Branch (GA),9,6d382acb-98ce-42a8-94e4-656ee5702982,Connor Shaw,QB,2014.0,R01,210.0
1554866201,1992-12-06,"Tyler, CA, USA",Texas A&M,Southeastern Conference,72,Tivy (TX),2,7ebbfdef-1185-4896-a323-e6d5669a8345,Johnny Manziel,QB,2014.0,A01,210.0
